OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,longitude,latitude,session_source_key
444,11697980,,DEFAULT,nan,nan,lacocad,nan,0.1,CALACC,nan,,,,,,,,,Unknown,,,,,1595791813000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,LAC-221319,,WF,FI,34.75462,-118.7957,nan,nan,{3EE8E7AD-4A82-45E4-8F83-5E0147A4B4D6},nan,0,nan,nan,0,nan,nan,nan,1,221319,nan,nan,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,nan,,SC09,C&L,CALAC,US-CA,,,,,nan,2020-CALAC-221319,No Decision,nan,,nan,1595792084800,1595792109230,0,,,{3EE8E7AD-4A82-45E4-8F83-5E0147A4B4D6},039540b3-6a64-44ce-b616-5433ff6e40f3,,-118.79569999999995,34.754620000000045,nifc_wildfire_incidents
445,784544,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,JSV1,,1434316560000,,nan,nan,nan,nan,nan,,,NRCC,nan,nan,nan,,,PIG PEN,,WF,FI,nan,nan,nan,nan,{BFE7C40A-3399-483D-BA1D-9DDC0CE9B48F},nan,0,0.0,0.0,0,0.0,1.0,nan,1,000147,nan,nan,,Rolette,,38079,,NDTMA,,BIA,Federal,,,,,nan,,,,NDTMA,US-ND,,,,,nan,2015-NDTMA-000147,No Decision,nan,,nan,1434403133457,1434403163760,0,,,{BFE7C40A-3399-483D-BA1D-9DDC0CE9B48F},ac039d51-06b2-483d-9480-2f58248f7c2d,,-99.78609999999998,48.89110000000005,nifc_wildfire_incidents
446,827808,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,JU80,,1435629960000,,nan,nan,nan,nan,nan,,,NWCC,nan,nan,nan,,,LINE STRIKES,,WF,FI,nan,nan,nan,nan,{17CBEAF8-46CE-44F5-A5B3-A14D191F519E},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000033,nan,nan,,Stevens,,53065,,WALRP,,NPS,Federal,,,,,nan,,,,WASPA,US-WA,,,,,nan,2015-WASPA-000033,No Decision,nan,,nan,1435675858927,1435676129613,0,,,{17CBEAF8-46CE-44F5-A5B3-A14D191F519E},942b95e8-71f6-4332-bf08-963578ca2fde,,-117.962,47.83110000000005,nifc_wildfire_incidents
447,21025997,,DEFAULT,nan,nan,wildcad,0.1,0.5,WAPCC,nan,,,,,,,,,Undetermined,,,,,1628977089000,,nan,nan,nan,nan,nan,,,NWCC,nan,nan,nan,,,TALLEY WAY,,WF,FI,46.20248,-122.8913,nan,nan,{7B8B5C02-37B0-4204-B181-F052FB75FD2B},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000245,nan,nan,,Cowlitz,WACCC,53015,,,,Private,Private,,,,,nan,,NW02,DNR,WAPCS,US-WA,,,,,nan,2021-WAPCS-000245,No Decision,nan,,nan,1628977566767,1628981623410,0,,,{7B8B5C02-37B0-4204-B181-F052FB75FD2B},f208449b-fa45-4890-9b75-6df0a52aadd9,,-122.75179999999996,46.104460000000074,nifc_wildfire_incidents
448,10759181,,DEFAULT,nan,nan,cfcad,nan,0.1,CAMMCC,nan,,,,,,,,,Unknown,,,M9KM,,1594506992000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,BUG,,WF,FI,37.579013,-119.944545,nan,nan,{F7CBA6E9-AFD0-4BD7-936C-981D80FFA437},nan,0,1.0,0.0,0,1.0,0.0,nan,1,014693,nan,nan,,Mariposa,CASICC,06043,BLM,CACND,,Private,Private,,,,,nan,,SC04,CDF,CAMMU,US-CA,,,,,nan,2020-CAMMU-014693,No Decision,nan,,nan,1594506995223,1594654517183,0,,,{F7CBA6E9-AFD0-4BD7-936C-981D80FFA437},53ca5d74-38d1-40bf-ad7a-56d98f7e7f76,,-119.94454499999996,37.57901300000003,nifc_wildfire_incidents
449,5403568,,DEFAULT,nan,nan,lacocad,nan,0.1,CALACC,nan,,,,,,,,,Unknown,,,,,1541812807000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,LAC-340824,,WF,FI,34.71877,-118.11228,nan,nan,{EDA5C4F6-70EF-4A1B-95C5-804E4F98F2C7},nan,0,nan,nan,0,nan,nan,nan,1,340824,nan,nan,,Los Angeles,CALACC,06037,C&L,CALAC,,,,,,,,nan,,SC15,C&L,CALAC,US-CA,,,,,nan,2018-CALAC-340824,No Decision,nan,,nan,1541841902683,1541841902683,0,,,{EDA5C4F6-70EF-4A1B-95C5-804E4F98F2C7},26ad6c81-22ea-470b-a38b-bb886f69d580,,-118.11227999999994,34.71877000000006,nifc_wildfire_incidents
450,7883981,,DEFAULT,nan,nan,wildcad,492.0,1.0,TXTIC,nan,,,,,,,,,Unknown,,,,,1584541743000,,nan,nan,nan,nan,nan,,,SACC,nan,nan,nan,,,Comp 100 East,,RX,FI,30.46212,-95.18528,nan,nan,{4D921303-C9B0-404F-8825-66C870DC32CF},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000105,nan,nan,,San Jacinto,TXTIC,48407,FS,TXTXF,,,,,,,,nan,,SA12,FS,TXTXF,US-TX,,,,,nan,2020-TXTXF-000105,No Decision,nan,,nan,1584541756033,1660089853247,0,,,{4D921303-C9B0-404F-8825-66C870DC32CF},9e90022b-7640-41fe-b65b-12574d1ff33f,,-95.18528,30.46212,nifc_wildfire_incidents
451,21669992,,DEFAULT,nan,nan,wildcad,0.1,1.0,CASBCC,nan,,,,,,,,,Undetermined,,,N976,,1632445380000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,VEG/JR/AREA 60A,,WF,FI,33.92221,-116.6545,nan,nan,{CBCAAD02-0FD3-4593-8842-5394061B2927},nan,0,1.0,1.0,0,0.0,0.0,nan,1,013998,nan,nan,,Riverside,CARRCC,06065,,,,Private,Private,,,,,nan,,SC10,BLM,CACDD,US-CA,,,,,nan,2021-CACDD-013998,No Decision,nan,,nan,1632446391263,1632447961877,0,,,{CBCAAD02-0FD3-4593-8842-5394061B2927},f03e0b2c-b73d-43f3-993a-bc56106f8c36,,-116.65449999999998,33.922210000000064,nifc_wildfire_incidents
452,8023580,,DEFAULT,nan,nan,firecode,nan,nan,NDNDC,nan,,,,,,,,,,,,M1K3,,1585517400000,,nan,nan,nan,nan,nan,,,NRCC,nan,nan,nan,,,MOUSE,,WF,FI,nan,nan,nan,nan,{8A88543A-38C3-4B83-A93F-E2B9787553B8},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000009,nan,nan,,Benson,NDNDC,38005,BIA,NDFTA,,BIA,Federal,,,,,nan,,NR17,BIA,NDFTA,US-ND,,,,,nan,2020-NDFTA-000009,No Decision,nan,,nan,1585585810643,1585585846010,0,,,{8A88543A-38C3-4B83-A93F-E2B9787553B8},422de404-3842-443f-9781-b93c07c838fd,,-98.99749999999996,47.98861111100007,nifc_wildfire_incidents
453,23759590,,DEFAULT,nan,nan,cfcad,nan,0.1,CARRCC,nan,,,,,,,,,Undetermined,,,,,1647514727000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,HANSEN AV / LAKEVIEW AV E,,WF,FI,33.831365,-117.116873,nan,nan,{B3443E36-33DA-4F84-BCDF-603E49849D18},nan,0,0.0,0.0,0,0.0,0.0,nan,1,039952,nan,nan,,Riverside,CARRCC,06065,,,,Private,Private,,,,,nan,,SC08,CDF,CARRU,US-CA,,,,,nan,2022-CARRU-039952,No Decision,nan,,nan,1647517865167,1647517865167,0,,,{B3443E36-33DA-4F84-BCDF-603E49849D18},9173596f-b950-4b05-900e-e6a9d6202142,,-117.11687299999994,33.83136500000006,nifc_wildfire_incidents
454,7173175,,DEFAULT,nan,nan,lacocad,nan,0.1,CALACC,nan,,,,,,,,,Unknown,,,,,1572429524000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,LAC-332704,,WF,FI,33.98094,-118.05079,nan,nan,{A0E339F2-E06C-47F5-BBC8-EAECC181AE7E},nan,0,nan,nan,0,nan,nan,nan,1,332704,nan,nan,,Los Angeles,CALACC,06037,C&L,CALAC,,,,,,,,nan,,SC08,C&L,CALAC,US-CA,,,,,nan,2019-CALAC-332704,No Decision,nan,,nan,1572429634780,1572429634780,0,,,{A0E339F2-E06C-47F5-BBC8-EAECC181AE7E},ad9ff938-713e-4988-9500-1e20a14cc40d,,-118.05078999999996,33.98094000000003,nifc_wildfire_incidents
455,723512,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,JN1P,,1429927800000,,nan,nan,nan,nan,nan,,,RMCC,nan,nan,nan,,,FALSE ALARM 062,,WF,FI,nan,nan,nan,nan,{4D241951-A37D-457E-AA70-805C31280963},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000062,nan,nan,,Sweetwater,,56037,,WYRSD,,BLM,Federal,,,,,nan,,,,WYRSD,US-WY,,,,,nan,2015-WYRSD-000062,No Decision,nan,,nan,1429930916877,1429930942020,0,,,{4D241951-A37D-457E-AA70-805C31280963},7a8469d9-ab03-43ac-8451-aad322c5dcb1,,-108.72299999999996,41.68080000000003,nifc_wildfire_incidents
