State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,session_source_key
Alabama,Baldwin,1,3,2023-03-13,38,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-14,39,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-15,44,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-16,49,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-17,19,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-20,43,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-21,62,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-22,47,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-23,43,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-24,32,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-25,31,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-26,36,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-27,28,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-28,40,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-29,43,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-30,54,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-03-31,56,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-01,41,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-02,45,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-03,52,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-04,54,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-05,33,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-06,22,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-07,31,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-08,24,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-09,29,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-10,36,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-11,40,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-12,33,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-13,44,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-14,45,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-15,37,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-16,41,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-17,49,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-18,50,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-19,74,Moderate,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-20,48,Good,Ozone,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-04-21,47,Good,PM2.5,01-003-0010,1,epa_air_quality
