REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,YEAR,DATE_RANGE,MONTH,DAY,FID,ANNUAL_COS,REPAIR_COS,REACTIVATI,longitude,latitude,session_source_key
ODOT2011,LS_1448,Oregon Department of Transportation, ,SL035-0048-47BB1, ,0,0,0.0,0, ,Fill Failure, , ,0,0, ,Road Impact:LS close 3-10mi det;Lanes Affected:2;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:48.47;Frequency:every 5 yrs or less;,0, , , ,1422,0.0,0.0, ,-123.75591159643501,42.971732582631034,portal_dogami_slido
ODOT2011,LS_1449,Oregon Department of Transportation, ,SL035-0048-91RE1, ,0,0,0.0,0, ,Fill Failure, , ,0,0, ,Road Impact:LS leaves 2-way traf;Lanes Affected:1;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:48.91;Frequency:every 3 yrs;,0, , , ,1423,0.0,0.0, ,-123.74770803420893,42.97384272646573,portal_dogami_slido
ODOT2011,LS_1450,Oregon Department of Transportation, ,SL035-0048-90LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF onto shoulder;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:48.9;Frequency:every yr;,0, , , ,1424,0.0,0.0, ,-123.74793608706933,42.97384328836072,portal_dogami_slido
ODOT2011,LS_1451,Oregon Department of Transportation, ,SL035-0049-07LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF on roadway;Lanes Affected:3;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:49.07;Frequency:every yr;,0, , , ,1425,0.0,0.0, ,-123.74567180025608,42.97565378450026,portal_dogami_slido
ODOT2011,LS_1452,Oregon Department of Transportation, ,SL035-0049-30LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF on roadway;Lanes Affected:1;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:49.3;Frequency:every yr;,0, , , ,1426,0.0,0.0, ,-123.7427071219227,42.97811269741846,portal_dogami_slido
ODOT2011,LS_1453,Oregon Department of Transportation, ,SL035-0049-43LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF on roadway;Lanes Affected:1;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:49.43;Frequency:5 times or more a yr;,0, , , ,1427,0.0,0.0, ,-123.74093704614722,42.979597401178125,portal_dogami_slido
ODOT2011,LS_1454,Oregon Department of Transportation, ,SL035-0050-02LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF on roadway;Lanes Affected:2;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:50.02;Frequency:5 times or more a yr;,0, , , ,1428,0.0,0.0, ,-123.73460585058494,42.98642990215973,portal_dogami_slido
ODOT2011,LS_1455,Oregon Department of Transportation, ,SL035-0050-16LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF on roadway;Lanes Affected:2;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:50.16;Frequency:5 times or more a yr;,0, , , ,1429,0.0,0.0, ,-123.73204525706798,42.98705592513988,portal_dogami_slido
ODOT2011,LS_1456,Oregon Department of Transportation, ,SL035-0051-33LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF contain in ditch;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:51.33;Frequency:every yr;,0, , , ,1430,0.0,0.0, ,-123.7180817700444,42.99799759307723,portal_dogami_slido
ODOT2011,LS_1457,Oregon Department of Transportation, ,SL035-0051-71LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF contain in ditch;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:51.71;Frequency:every yr;,0, , , ,1431,0.0,0.0, ,-123.71434974896111,43.002075260979126,portal_dogami_slido
