Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
GACC,string,,0,11,Geographic Area Coordination Center region
Fire Count,string,,0,11,
Total Burned Area (acres),numeric,area,0,11,
Mean Fire Size,string,,0,11,
Mean Max Fire Spread Rate,string,,0,11,
Total Suppression Costs ($),currency,USD,0,11,
Total Personnel x Reports,string,,0,11,
Total Structures Threatened,string,,0,11,
Total Structures Destroyed,string,,0,11,
